E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
7.6,7.8,-49.46,-46.05,9718418.31
7.8,8,-49.46,-46.05,11640464.2
8,8.2,-49.46,-46.05,13709012.32
8.2,8.4,-49.46,-46.05,15896394.97
8.4,8.6,-49.46,-46.05,17535195.7
8.6,8.8,-49.46,-46.05,20888556.99
8.8,9,-49.46,-46.05,24396245.08
9,9.2,-49.46,-46.05,0
9.2,9.4,-49.46,-46.05,0
9.4,9.6,-49.46,-46.05,0
9.6,9.8,-49.46,-46.05,0
9.8,10,-49.46,-46.05,0
2,2.2,-46.05,-42.84,0
2.2,2.4,-46.05,-42.84,0
2.4,2.6,-46.05,-42.84,0
2.6,2.8,-46.05,-42.84,0
2.8,3,-46.05,-42.84,0
3,3.2,-46.05,-42.84,0
3.2,3.4,-46.05,-42.84,0
3.4,3.6,-46.05,-42.84,0
3.6,3.8,-46.05,-42.84,0
3.8,4,-46.05,-42.84,0
4,4.2,-46.05,-42.84,0
4.2,4.4,-46.05,-42.84,257.46
4.4,4.6,-46.05,-42.84,1062.95
4.6,4.8,-46.05,-42.84,3922.34
4.8,5,-46.05,-42.84,9392.91
5,5.2,-46.05,-42.84,39366.01
5.2,5.4,-46.05,-42.84,121974.91
5.4,5.6,-46.05,-42.84,253798.34
5.6,5.8,-46.05,-42.84,528022.53
5.8,6,-46.05,-42.84,828198.48
6,6.2,-46.05,-42.84,1308932.53
6.2,6.4,-46.05,-42.84,1932056.72
6.4,6.6,-46.05,-42.84,2597565.49
6.6,6.8,-46.05,-42.84,3344957.14
6.8,7,-46.05,-42.84,4382582.54
7,7.2,-46.05,-42.84,5407726.09
7.2,7.4,-46.05,-42.84,6574958.73
7.4,7.6,-46.05,-42.84,8357270.38
7.6,7.8,-46.05,-42.84,10063762.62
7.8,8,-46.05,-42.84,12116090.35
8,8.2,-46.05,-42.84,14200969.1
8.2,8.4,-46.05,-42.84,16654844.44
8.4,8.6,-46.05,-42.84,19226113.81
8.6,8.8,-46.05,-42.84,21890096.28
8.8,9,-46.05,-42.84,26244129.21
9,9.2,-46.05,-42.84,0
9.2,9.4,-46.05,-42.84,0
9.4,9.6,-46.05,-42.84,0
9.6,9.8,-46.05,-42.84,0
9.8,10,-46.05,-42.84,0
2,2.2,-42.84,-39.79,0
2.2,2.4,-42.84,-39.79,0
2.4,2.6,-42.84,-39.79,0
2.6,2.8,-42.84,-39.79,0
2.8,3,-42.84,-39.79,0
3,3.2,-42.84,-39.79,0
3.2,3.4,-42.84,-39.79,0
3.4,3.6,-42.84,-39.79,0
3.6,3.8,-42.84,-39.79,0
3.8,4,-42.84,-39.79,0
4,4.2,-42.84,-39.79,0
4.2,4.4,-42.84,-39.79,312.13
4.4,4.6,-42.84,-39.79,1720.01
4.6,4.8,-42.84,-39.79,5563.32
4.8,5,-42.84,-39.79,13502.7
5,5.2,-42.84,-39.79,45412.78
5.2,5.4,-42.84,-39.79,123157.66
5.4,5.6,-42.84,-39.79,287927.83
5.6,5.8,-42.84,-39.79,542686.65
5.8,6,-42.84,-39.79,890167.47
6,6.2,-42.84,-39.79,1372867.25
6.2,6.4,-42.84,-39.79,2006139.02
6.4,6.6,-42.84,-39.79,2750491.54
6.6,6.8,-42.84,-39.79,3593561.15
6.8,7,-42.84,-39.79,4610422.61
7,7.2,-42.84,-39.79,5843902
7.2,7.4,-42.84,-39.79,7466471.65
7.4,7.6,-42.84,-39.79,8784571.24
7.6,7.8,-42.84,-39.79,10563868.06
7.8,8,-42.84,-39.79,12563107.03
8,8.2,-42.84,-39.79,14401449.2
8.2,8.4,-42.84,-39.79,17183670.56
8.4,8.6,-42.84,-39.79,19874416.88
8.6,8.8,-42.84,-39.79,22493130.87
8.8,9,-42.84,-39.79,27031511.95
9,9.2,-42.84,-39.79,0
9.2,9.4,-42.84,-39.79,0
9.4,9.6,-42.84,-39.79,0
9.6,9.8,-42.84,-39.79,0
9.8,10,-42.84,-39.79,0
2,2.2,-39.79,-36.87,0
2.2,2.4,-39.79,-36.87,0
2.4,2.6,-39.79,-36.87,0
2.6,2.8,-39.79,-36.87,0
2.8,3,-39.79,-36.87,0
3,3.2,-39.79,-36.87,0
3.2,3.4,-39.79,-36.87,0
3.4,3.6,-39.79,-36.87,0
3.6,3.8,-39.79,-36.87,0
3.8,4,-39.79,-36.87,0
4,4.2,-39.79,-36.87,0
4.2,4.4,-39.79,-36.87,138.99
4.4,4.6,-39.79,-36.87,1982.78
4.6,4.8,-39.79,-36.87,6314.98
4.8,5,-39.79,-36.87,16861.82
5,5.2,-39.79,-36.87,50041.6
5.2,5.4,-39.79,-36.87,121728.51
5.4,5.6,-39.79,-36.87,278434.32
5.6,5.8,-39.79,-36.87,553130.34
5.8,6,-39.79,-36.87,951981.82
6,6.2,-39.79,-36.87,1503927.38
6.2,6.4,-39.79,-36.87,2119698.69
6.4,6.6,-39.79,-36.87,2888619.78
6.6,6.8,-39.79,-36.87,3800385.5
6.8,7,-39.79,-36.87,4787209.4
7,7.2,-39.79,-36.87,5990885.53
7.2,7.4,-39.79,-36.87,7653807.54
7.4,7.6,-39.79,-36.87,9017890.57
7.6,7.8,-39.79,-36.87,10997606.91
7.8,8,-39.79,-36.87,13528351.22
8,8.2,-39.79,-36.87,15570413.79
8.2,8.4,-39.79,-36.87,18341765.46
8.4,8.6,-39.79,-36.87,21064164.56
8.6,8.8,-39.79,-36.87,23813428.99
8.8,9,-39.79,-36.87,28289324.49
9,9.2,-39.79,-36.87,0
9.2,9.4,-39.79,-36.87,0
9.4,9.6,-39.79,-36.87,0
9.6,9.8,-39.79,-36.87,0
9.8,10,-39.79,-36.87,0
2,2.2,-36.87,-34.06,0
2.2,2.4,-36.87,-34.06,0
2.4,2.6,-36.87,-34.06,0
2.6,2.8,-36.87,-34.06,0
2.8,3,-36.87,-34.06,0
3,3.2,-36.87,-34.06,0
