E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
6,6.2,-42.84,-39.79,235869.94
6.2,6.4,-42.84,-39.79,519063.5
6.4,6.6,-42.84,-39.79,905260.98
6.6,6.8,-42.84,-39.79,1182313.6
6.8,7,-42.84,-39.79,1602238.1
7,7.2,-42.84,-39.79,1962546.63
7.2,7.4,-42.84,-39.79,2414712.54
7.4,7.6,-42.84,-39.79,2884685.01
7.6,7.8,-42.84,-39.79,3124211.19
7.8,8,-42.84,-39.79,3563474.84
8,8.2,-42.84,-39.79,3288321.54
8.2,8.4,-42.84,-39.79,2877077.46
8.4,8.6,-42.84,-39.79,2489674.46
8.6,8.8,-42.84,-39.79,1993740.13
8.8,9,-42.84,-39.79,1792207.77
9,9.2,-42.84,-39.79,1458282.57
9.2,9.4,-42.84,-39.79,1003670.64
9.4,9.6,-42.84,-39.79,784507.13
9.6,9.8,-42.84,-39.79,734398.24
9.8,10,-42.84,-39.79,534585.65
2,2.2,-39.79,-36.87,0
2.2,2.4,-39.79,-36.87,0
2.4,2.6,-39.79,-36.87,0
2.6,2.8,-39.79,-36.87,0
2.8,3,-39.79,-36.87,0
3,3.2,-39.79,-36.87,0
3.2,3.4,-39.79,-36.87,0
3.4,3.6,-39.79,-36.87,0
3.6,3.8,-39.79,-36.87,0
3.8,4,-39.79,-36.87,0
4,4.2,-39.79,-36.87,0
4.2,4.4,-39.79,-36.87,0
4.4,4.6,-39.79,-36.87,0
4.6,4.8,-39.79,-36.87,0
4.8,5,-39.79,-36.87,122.29
5,5.2,-39.79,-36.87,1462.59
5.2,5.4,-39.79,-36.87,4511.64
5.4,5.6,-39.79,-36.87,14781.24
5.6,5.8,-39.79,-36.87,48801.14
5.8,6,-39.79,-36.87,128123.56
6,6.2,-39.79,-36.87,271541.61
6.2,6.4,-39.79,-36.87,582735.08
6.4,6.6,-39.79,-36.87,979963.58
6.6,6.8,-39.79,-36.87,1247298.64
6.8,7,-39.79,-36.87,1734865.82
7,7.2,-39.79,-36.87,2121359.05
7.2,7.4,-39.79,-36.87,2632286.11
7.4,7.6,-39.79,-36.87,3153424.46
7.6,7.8,-39.79,-36.87,3244413.15
7.8,8,-39.79,-36.87,3898445.12
8,8.2,-39.79,-36.87,3771488.12
8.2,8.4,-39.79,-36.87,3385091.48
8.4,8.6,-39.79,-36.87,3003605.72
8.6,8.8,-39.79,-36.87,2419985.97
8.8,9,-39.79,-36.87,1924495.29
9,9.2,-39.79,-36.87,1665923.49
9.2,9.4,-39.79,-36.87,1002095.9
9.4,9.6,-39.79,-36.87,1005629.63
9.6,9.8,-39.79,-36.87,759548.29
9.8,10,-39.79,-36.87,617626.01
2,2.2,-36.87,-34.06,0
2.2,2.4,-36.87,-34.06,0
2.4,2.6,-36.87,-34.06,0
2.6,2.8,-36.87,-34.06,0
2.8,3,-36.87,-34.06,0
3,3.2,-36.87,-34.06,0
3.2,3.4,-36.87,-34.06,0
3.4,3.6,-36.87,-34.06,0
3.6,3.8,-36.87,-34.06,0
3.8,4,-36.87,-34.06,0
4,4.2,-36.87,-34.06,0
4.2,4.4,-36.87,-34.06,0
4.4,4.6,-36.87,-34.06,0
4.6,4.8,-36.87,-34.06,0
4.8,5,-36.87,-34.06,536.04
5,5.2,-36.87,-34.06,2477.77
5.2,5.4,-36.87,-34.06,7034.74
5.4,5.6,-36.87,-34.06,15664.66
5.6,5.8,-36.87,-34.06,57259.26
5.8,6,-36.87,-34.06,139485.99
6,6.2,-36.87,-34.06,322574.17
6.2,6.4,-36.87,-34.06,651887.55
6.4,6.6,-36.87,-34.06,1047113.03
6.6,6.8,-36.87,-34.06,1491406.61
6.8,7,-36.87,-34.06,1923008.94
7,7.2,-36.87,-34.06,2437474.24
7.2,7.4,-36.87,-34.06,2895804.39
7.4,7.6,-36.87,-34.06,3253525.57
7.6,7.8,-36.87,-34.06,3889176.7
7.8,8,-36.87,-34.06,4340515.86
8,8.2,-36.87,-34.06,4221626.54
8.2,8.4,-36.87,-34.06,3743705.63
8.4,8.6,-36.87,-34.06,3693844.14
8.6,8.8,-36.87,-34.06,3123959.65
8.8,9,-36.87,-34.06,2144578.77
9,9.2,-36.87,-34.06,1942774.87
9.2,9.4,-36.87,-34.06,1824960.36
9.4,9.6,-36.87,-34.06,1212377.69
9.6,9.8,-36.87,-34.06,1125084.88
9.8,10,-36.87,-34.06,765059.39
2,2.2,-34.06,-31.33,0
2.2,2.4,-34.06,-31.33,0
2.4,2.6,-34.06,-31.33,0
2.6,2.8,-34.06,-31.33,0
2.8,3,-34.06,-31.33,0
3,3.2,-34.06,-31.33,0
3.2,3.4,-34.06,-31.33,0
3.4,3.6,-34.06,-31.33,0
3.6,3.8,-34.06,-31.33,0
3.8,4,-34.06,-31.33,0
4,4.2,-34.06,-31.33,0
4.2,4.4,-34.06,-31.33,0
4.4,4.6,-34.06,-31.33,0
4.6,4.8,-34.06,-31.33,0
4.8,5,-34.06,-31.33,616.33
5,5.2,-34.06,-31.33,1937.27
5.2,5.4,-34.06,-31.33,8724.89
5.4,5.6,-34.06,-31.33,21526.32
5.6,5.8,-34.06,-31.33,66138.58
5.8,6,-34.06,-31.33,166549.33
6,6.2,-34.06,-31.33,378405.23
6.2,6.4,-34.06,-31.33,714702.22
6.4,6.6,-34.06,-31.33,1055867.36
6.6,6.8,-34.06,-31.33,1567110.45
