E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2.4,2.6,-53.13,-49.46,0
2.6,2.8,-53.13,-49.46,0
2.8,3,-53.13,-49.46,0
3,3.2,-53.13,-49.46,0.06
3.2,3.4,-53.13,-49.46,0.13
3.4,3.6,-53.13,-49.46,0
3.6,3.8,-53.13,-49.46,0
3.8,4,-53.13,-49.46,0
4,4.2,-53.13,-49.46,0
4.2,4.4,-53.13,-49.46,0
4.4,4.6,-53.13,-49.46,39.71
4.6,4.8,-53.13,-49.46,248
4.8,5,-53.13,-49.46,1581.44
5,5.2,-53.13,-49.46,8215.96
5.2,5.4,-53.13,-49.46,33080.08
5.4,5.6,-53.13,-49.46,103523.28
5.6,5.8,-53.13,-49.46,241186.69
5.8,6,-53.13,-49.46,453638.16
6,6.2,-53.13,-49.46,807912.31
6.2,6.4,-53.13,-49.46,1277724.41
6.4,6.6,-53.13,-49.46,1823822.36
6.6,6.8,-53.13,-49.46,2589271.33
6.8,7,-53.13,-49.46,3368045.7
7,7.2,-53.13,-49.46,4344921.95
7.2,7.4,-53.13,-49.46,5489245.13
7.4,7.6,-53.13,-49.46,6920690.63
7.6,7.8,-53.13,-49.46,8557547.93
7.8,8,-53.13,-49.46,10727021.34
8,8.2,-53.13,-49.46,12173190.71
8.2,8.4,-53.13,-49.46,15590244.58
8.4,8.6,-53.13,-49.46,19215770.56
8.6,8.8,-53.13,-49.46,21539766.17
8.8,9,-53.13,-49.46,21907962.18
9,9.2,-53.13,-49.46,0
9.2,9.4,-53.13,-49.46,0
9.4,9.6,-53.13,-49.46,0
9.6,9.8,-53.13,-49.46,0
9.8,10,-53.13,-49.46,0
2,2.2,-49.46,-46.05,0
2.2,2.4,-49.46,-46.05,0
2.4,2.6,-49.46,-46.05,0
2.6,2.8,-49.46,-46.05,0
2.8,3,-49.46,-46.05,0
3,3.2,-49.46,-46.05,0
3.2,3.4,-49.46,-46.05,0.2
3.4,3.6,-49.46,-46.05,0.57
3.6,3.8,-49.46,-46.05,0.53
3.8,4,-49.46,-46.05,3.06
4,4.2,-49.46,-46.05,6.02
4.2,4.4,-49.46,-46.05,0
4.4,4.6,-49.46,-46.05,10.17
4.6,4.8,-49.46,-46.05,47.19
4.8,5,-49.46,-46.05,1740.78
5,5.2,-49.46,-46.05,8506.26
5.2,5.4,-49.46,-46.05,35594.83
5.4,5.6,-49.46,-46.05,94906.67
5.6,5.8,-49.46,-46.05,243730.61
5.8,6,-49.46,-46.05,462327.11
6,6.2,-49.46,-46.05,840106.99
6.2,6.4,-49.46,-46.05,1326694.93
6.4,6.6,-49.46,-46.05,1804627.93
6.6,6.8,-49.46,-46.05,2595790.1
6.8,7,-49.46,-46.05,3430753.78
7,7.2,-49.46,-46.05,4242006.31
7.2,7.4,-49.46,-46.05,6063188.78
7.4,7.6,-49.46,-46.05,7568637.75
7.6,7.8,-49.46,-46.05,9000542.6
7.8,8,-49.46,-46.05,10939319.12
8,8.2,-49.46,-46.05,13792663.87
8.2,8.4,-49.46,-46.05,16266766.63
8.4,8.6,-49.46,-46.05,18491540.3
8.6,8.8,-49.46,-46.05,23696236.74
8.8,9,-49.46,-46.05,23722684.52
9,9.2,-49.46,-46.05,0
9.2,9.4,-49.46,-46.05,0
9.4,9.6,-49.46,-46.05,0
9.6,9.8,-49.46,-46.05,0
9.8,10,-49.46,-46.05,0
2,2.2,-46.05,-42.84,0
2.2,2.4,-46.05,-42.84,0
2.4,2.6,-46.05,-42.84,0
2.6,2.8,-46.05,-42.84,0
2.8,3,-46.05,-42.84,0
3,3.2,-46.05,-42.84,0.1
3.2,3.4,-46.05,-42.84,0
3.4,3.6,-46.05,-42.84,0.45
3.6,3.8,-46.05,-42.84,0.36
3.8,4,-46.05,-42.84,0
4,4.2,-46.05,-42.84,0
4.2,4.4,-46.05,-42.84,9.04
4.4,4.6,-46.05,-42.84,18.76
4.6,4.8,-46.05,-42.84,338.42
4.8,5,-46.05,-42.84,1284.76
5,5.2,-46.05,-42.84,8535
5.2,5.4,-46.05,-42.84,34130.31
5.4,5.6,-46.05,-42.84,107132.83
5.6,5.8,-46.05,-42.84,244822.96
5.8,6,-46.05,-42.84,501802.43
6,6.2,-46.05,-42.84,892266.82
6.2,6.4,-46.05,-42.84,1368078.44
6.4,6.6,-46.05,-42.84,1987904.06
6.6,6.8,-46.05,-42.84,2772271.59
6.8,7,-46.05,-42.84,3698400.95
7,7.2,-46.05,-42.84,4394042.15
7.2,7.4,-46.05,-42.84,6253449.21
7.4,7.6,-46.05,-42.84,7447046.06
7.6,7.8,-46.05,-42.84,10241285.59
7.8,8,-46.05,-42.84,11118676.78
8,8.2,-46.05,-42.84,13215783.48
8.2,8.4,-46.05,-42.84,16392284.62
8.4,8.6,-46.05,-42.84,18205855.64
8.6,8.8,-46.05,-42.84,23560454.66
8.8,9,-46.05,-42.84,27505278.17
9,9.2,-46.05,-42.84,0
9.2,9.4,-46.05,-42.84,0
9.4,9.6,-46.05,-42.84,0
9.6,9.8,-46.05,-42.84,0
9.8,10,-46.05,-42.84,0
2,2.2,-42.84,-39.79,0
2.2,2.4,-42.84,-39.79,0
2.4,2.6,-42.84,-39.79,0
2.6,2.8,-42.84,-39.79,0
2.8,3,-42.84,-39.79,0
3,3.2,-42.84,-39.79,0
3.2,3.4,-42.84,-39.79,0.35
3.4,3.6,-42.84,-39.79,0
3.6,3.8,-42.84,-39.79,0
3.8,4,-42.84,-39.79,0.8
4,4.2,-42.84,-39.79,0
4.2,4.4,-42.84,-39.79,6.48
4.4,4.6,-42.84,-39.79,14.15
4.6,4.8,-42.84,-39.79,78.39
4.8,5,-42.84,-39.79,1274.85
5,5.2,-42.84,-39.79,10558.11
5.2,5.4,-42.84,-39.79,41464.18
5.4,5.6,-42.84,-39.79,108485.86
5.6,5.8,-42.84,-39.79,261983.39
5.8,6,-42.84,-39.79,530971.42
6,6.2,-42.84,-39.79,895360.29
6.2,6.4,-42.84,-39.79,1477970.81
6.4,6.6,-42.84,-39.79,2082614.84
6.6,6.8,-42.84,-39.79,2851692.59
6.8,7,-42.84,-39.79,3806369.95
7,7.2,-42.84,-39.79,4913333
7.2,7.4,-42.84,-39.79,6284823.61
7.4,7.6,-42.84,-39.79,8267427.09
7.6,7.8,-42.84,-39.79,9708634.66
7.8,8,-42.84,-39.79,11699660.5
8,8.2,-42.84,-39.79,14233336.58
8.2,8.4,-42.84,-39.79,18454685.33
8.4,8.6,-42.84,-39.79,21347498.26
8.6,8.8,-42.84,-39.79,22150848.75
8.8,9,-42.84,-39.79,28300628.47
